PUE,WUE,Climate Zone,Case,Quantile,Data center size,Cooling system
1.168778594,0.772859335,1A,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.167221032,0.798717261,2A,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.125016139,0.467691297,2B,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.131943355,0.408480832,3A,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.108655643,0.258825626,3B,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.090086296,0.004227926,3C,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.109270684,0.27157155,4A,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.095413393,0.046633481,4B,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.086045242,0.002872491,4C,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.099911269,0.203410868,5A,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.088857128,0.042475709,5B,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.104479539,0.152656855,6A,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.083847189,0.011224947,6B,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.099403124,0.072875991,7,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.076795026,0.043237838,8,1,5th,Large-scale,Airside economizer& adiabatic cooling
1.106980543,1.760808265,1A,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.09889183,1.754706741,2A,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.083599853,1.748862452,2B,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.08686738,1.748077906,3A,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.079865667,1.743018422,3B,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.074122687,1.745528947,3C,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.084191498,1.743394578,4A,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.079923759,1.738466005,4B,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.074658777,1.74171536,4C,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.082783862,1.739613983,5A,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.079867705,1.736056517,5B,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.081149938,1.734712344,6A,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.077936422,1.733102831,6B,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.077427886,1.731947783,7,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.074615187,1.724105363,8,2,5th,Large-scale,Water-cooled chiller (waterside economizer)
1.472172706,1.595412515,1A,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.436873887,1.528484559,2A,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.391980132,1.014061476,2B,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.395264961,1.076695856,3A,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.391467402,0.948318734,3B,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.308970977,0.08131564,3C,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.379381154,0.972390531,4A,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.376254361,0.577044714,4B,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.300971819,0.093780427,4C,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.372080396,0.873640577,5A,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.382355729,0.758167536,5B,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.374755751,1.061580133,6A,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.339079824,0.399317696,6B,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.382978385,1.048749156,7,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.37705769,1.21267917,8,3,5th,Midsize,Water-cooled chiller (airside economizer)
1.302333167,2.027552037,1A,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.288718101,2.020192248,2A,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.272831151,2.013142686,2B,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.273651963,2.012196423,3A,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.274063474,2.006093549,3B,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.263463802,2.009121714,3C,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.270289432,2.006547366,4A,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.28607275,2.000602422,4B,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.265190636,2.004521755,4C,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.271416967,2.001987226,5A,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.286777486,1.997648172,5B,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.270705899,1.995916121,6A,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.279710153,1.993841713,6B,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.270392035,1.992353361,7,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.266082622,1.982246928,8,4,5th,Midsize,Water-cooled chiller (waterside economizer)
1.498608887,2.510304071,1A,5,5th,Midsize,Water-cooled chiller
1.488016063,2.477092753,2A,5,5th,Midsize,Water-cooled chiller
